T_FD[K],N_FD
3.97729588800828e-5,9673295.25109606
3.97604504392144e-5,9672879.42987292
3.9747957685209e-5,9672464.0581609
3.97354805541748e-5,9672049.1339624
3.97230189810044e-5,9671634.65523307
3.9710572902108e-5,9671220.61998224
3.96981422540451e-5,9670807.0262227
3.9685726972842e-5,9670393.87194561
3.96733269960374e-5,9669981.15519566
3.96609422606349e-5,9669568.87399589
3.96485727044659e-5,9669157.02639776
3.96362182655066e-5,9668745.61045606
3.96238788818781e-5,9668334.62422894
3.96115544925247e-5,9667924.06580284
3.95992450365327e-5,9667513.93326749
3.95869504538086e-5,9667104.22474088
3.95746706830418e-5,9666694.93829424
3.95624056650975e-5,9666286.07207698
3.9550155339623e-5,9665877.62419177
3.95379196477592e-5,9665469.59279437
3.95256985307833e-5,9665061.97604367
3.95134919294317e-5,9664654.77207678
3.95012997852535e-5,9664247.97905887
3.9489122040608e-5,9663841.5951831
3.94769586373123e-5,9663435.61862082
3.94648095186664e-5,9663030.04759619
3.94526746267525e-5,9662624.88028668
3.94405539051334e-5,9662220.1149225
3.94284472968277e-5,9661815.74971202
3.94163547463313e-5,9661411.78291628
3.94042761969213e-5,9661008.21274961
3.93922115933496e-5,9660605.03747894
3.93801608804943e-5,9660202.25537412
3.93681240026877e-5,9659799.86468312
3.93561009057315e-5,9659397.86370637
3.93440915348804e-5,9658996.2507224
3.93320958355135e-5,9658595.0240126
3.93201137544744e-5,9658194.18191073
3.93081452373882e-5,9657793.72270386
3.92961902313421e-5,9657393.64473134
3.92842486835431e-5,9656993.94633531
3.92723205406497e-5,9656594.62583595
3.92604057501092e-5,9656195.68158092
3.92485042601556e-5,9655797.1119453
3.92366160184726e-5,9655398.9152822
3.92247409735289e-5,9655001.08997212
3.92128790739097e-5,9654603.63439823
3.92010302683161e-5,9654206.54694637
3.91891945055646e-5,9653809.82600505
3.91773717352528e-5,9653413.46999005
3.91655619064262e-5,9653017.47729516
3.91537649695742e-5,9652621.84636602
3.91419808746332e-5,9652226.5756262
3.91302095723157e-5,9651831.66352648
3.91184510127812e-5,9651437.10849559
3.91067051469641e-5,9651042.9089894
3.90949719259082e-5,9650649.0634663
3.90832513007674e-5,9650255.57038723
3.9071543223466e-5,9649862.42824014
3.9059847646036e-5,9649469.63551547
3.90481645199551e-5,9649077.19068161
3.90364937981308e-5,9648685.09225843
3.90248354329149e-5,9648293.33874375
3.90131893774252e-5,9647901.92866229
3.90015555842243e-5,9647510.86051669
3.89899340066393e-5,9647120.1328365
3.89783245987598e-5,9646729.74417811
3.89667273134601e-5,9646339.69305135
3.89551421056934e-5,9645949.97804175
3.89435689285394e-5,9645560.59766389
3.89320077371537e-5,9645171.55050797
3.8920458486134e-5,9644782.83514205
